First Name           |Last Name            |  Age|Score
Ben                   Rush                     30    88
Benjamin              Plessala                 45    87
Benjamin              Valic                    71    78
Beril                 Pisgin-Saglam            61    89
Bess                  Daubenmire               52    87
Beth                  David                    40    78
Beth                  Sasseen                  70    75
Beth                  Sullivan                 52    73
Bethany               Jane Hanson              41    96
Beyonc�               Knowles                  67    83
Billie                Eilish                   34    78
Bing                  Chen                     55    81
Blake                 Henderson                42    82
Bob                   Pauley                   63    82
Bob                   Whitehill                66    92
Brad                  Robinson                 33    88
Brad                  Winemiller               35    87
Breck                 Alverson                 20    73
Bree                  Jenkins                  55    77
Brenda                Lin Zhang                52    79
Brendan               Beesley                  73    75
Breonna               Carter                   56    80
Bret                  Parker                   63    76
Brett                 Coderre                  60    70
Brett                 Levin                    72    67
Brian                 Kilgore                  74    78
Brian                 Rankin                   50    68
Brianna               Chapman                  44    76
Brianna               Murphy                   50    68
Britney               Best                     43    70
Britta                Wilson                   66    74
Brittany              Plung                    47    76
Bruce                 Craig                    62    92
Bruce                 Richards                 18    70
Bruce                 Dukov                    64    70
Bruna                 Moniz Berford            49    69
Byron                 Bashforth                18    92
Caleb                 Jeon                     20    76
Camila                Johnson                  59    70
Candace               Maga�a                   32    90
Capri                 Oliver                   27    77
Carina                Edwards                  53    71
Carl                  Cole                     47    78
Carl                  Harper                   32    85
Carliona              Dau-Kaufman              57    71
Carlos                Craig                    74    70
Carlos                Felipe Le�n              35    83
Carly                 Riley                    42    84
Carol                 Moen Wing                68    91
Carolina              Gaskin                   62    84
Carolyn               Ee Kaiser                61    67
Carolyn               Mazanec                  28    92
Carrie                Hobson                   43    92
Cassandra             Garcia                   22   111
Catherine             Bennett                  23    71
Catherine             Hang-Hicks               48    80
Catherine             Racette                  36    81
Cathleen              Carmean Pienaar          23    70
Cathy                 Shirk                    68    78
Cedric                L. Williams              34   100
Chad                  Williams                 53    73
Charles               Sochin                   24    77
Charlie               Lloyd                    48    70
Charlie               Bisharat                 19    89
Charlie               Kilpatrick               23   105
Charlie               Tyler                    72    87
Chelsea               Murray                   22    92
Chelsea               Wright                   33    76
Cherise               Miller                   24    83
Cherry                Miller                   28    77
Cheryl                Ichikawa Wang            62    77
Cheryl                Nardi                    42    89
Chester               Higgins                  46    86
Chester               Nelson                   62    81
Chester               Richardson               34    93
Chia-an               Anne Fu                  69    89
Chris                 Fogel                    26   104
Chris                 Lasell                   51    72
Chris                 Sasaki                   30    92
Chris                 Schoeneman               31   100
Chris                 Stevenson                57    75
Chrissa               Urquiola                 51    85
Christian             Hoffman                  37    76
Christian             J. Simon                 28    76
Christina             Garcia Weiland           66    87
Christina             Gin                      61    75
Christine             Freeman                  48    79
Christine             Jones                    25    97
Christine             Waggoner                 44    67
Christine             Wilcock                  21    72
Christopher           Chua                     63    81
Christopher           Hamilton                 63    67
Christopher           Meeker                   33    79
Christopher           R. Carter                22    91
Christopher           Sanchez                  31    80
Christopher           Zuber                    54    68
Chuck                 Waite                    30    74
Chuimei               Ho                       22    95
Claire                Faggioli                 69    71
Claudia               Chang Sanii              36    93
Clayborn              Welch                    37    91
Cody                  Harrington               39    67
Cody                  King                     58    74
Cody                  Lyon                     64    79
Colby                 Donaldson                23    90
Colin                 Bohrer                   41    79
Collin                Allen                    72    70
Corey                 Revilla                  24    67
Cory                  Omand                    33    95
Courtney              Dingel                   42    97
Coya                  Elliott                  67    77
Craig                 Foster                   37    74
Craig                 Marshall                 36   100
Cristopher            Knight                   69    67
Cynthia               Lusk                     47    73
Dainton               Farrell                  70    82
Dainton               Hall                     42    79
Dainton               Scott                    75    81
Dale                  Martin                   30    78
Dan                   Fornero                  28    92
Dana                  Donaldson                71    77
Dana                  Frankoff                 31   100
Daniel                Riley                    41    71
Daniel                A. Rodriguez             22    67
Daniel                Chong                    44    86
Daniel                Garcia                   63    74
Daniel                McCoy                    50    74
Danielle              Feinberg                 38    91
Danny                 Barnhart                 25    68
Darcy                 Parker                   45    73
Darcy                 Ryan                     36    76
Darrell               Valor                    40    87
Dave                  Hale                     49    97
Dave                  Strick                   62    67
Dave                  Weckl                    33    82
David                 Baraff                   23    85
David                 Batte                    29    77
David                 Boucher                  20    69
David                 Hayter                   26    72
David                 Lally                    36    97
David                 Lei                      18    88
David                 M. Laur                  47    83
David                 Nahman-Ramos             18    67
David                 Rejano Cantero           39    95
David                 Ryu                      26    68
David                 S. Peng                  18    72
David                 Suther                   60    87
David                 Walther                  46    75
David                 Wehr                     26    80
Deana                 Walker                   22    93
Deanie                Hickox                   40    86
Deborah               Clearwaters              24    68
Deborah               Coleman                  26   112
Delilah               Smith                    18    88
Derek                 Davis                    38    87
Derek                 Williams                 73    83
Devin                 Bright                   71    78
Dexter                Owens                    32    67
Diana                 Guardado                 18    95
Domee                 Shi                      59    81
Dominic               Glynn                    40    75
Don                   Crum                     22    99
Donald                Fong                     60    84
Donald                Foster                   65    79
Donald                Schmidt                  25    96
Donna                 Quattropani              19    82
Doug                  Tornquist                66    72
Dovi                  Anderson                 25    71
Dr.                   Alison Marshall          20    92
Drew                  Kleven                   29    70
Duc                   Manh Nguyen              30    78
Dylan                 Hart                     46    93
Dylan                 Sisson                   18    83
Eddy                  Mitchell                 55    71
Edgar                 Cameron                  26    71
Edgar                 Mitchell                 24    76
Edgar                 Robinson                 47    85
Edgar                 A. Ochoa                 30    89
Edith                 Mason                    60    73
Edward                Payne                    33    96
Edward                Luong                    72    82
Elena                 Pinderhughes             53    83
Elian                 Scott                    44    78
Elissa                Knight                   58    87
Ellalorraine          Greely                   33    84
Ellen                 Dubin                    39    80
Ellia                 Cooper                   41    67
Elliot                Simons                   72    83
Elliott               Cattell                  31    86
Elyse                 Willis                   35    83
Eman                  Abdul-Razzak             70    79
Emily                 Murphy                   18    78
Emily                 Phillips                 21    74
Emily                 Davis                    64    96
Emily                 Mollenkopf               23    72
Emily                 Sakamoto-Steidl          30    99
Emily                 Weihrich                 63    87
Emma                  Harper                   27    74
Emma                  Myers                    43    91
Emma                  Perry                    42    70
Emma                  Flores                   63    76
Emma                  Staniforth               73    70
Eric                  Anderson                 31    72
Eric                  Andraos                  54    74
Eric                  Bermender                56    78
Eric                  Byers                    35    88
Eric                  Pearson                  51    84
Eric                  Peden                    53    92
Eric                  Shepard                  30    88
Erica                 Milsom                   57    90
Erica                 Simons                   26    97
Erik                  Anderson                 68    95
Erika                 Schmidt                  40    82
Erin                  Fitzgerald               29   107
Erin                  O'Neal                   20   104
Erinn                 Kathryn Burke            32    68
Ethan                 Dean                     23    80
Ethan                 Loh                      22    83
Eva                   Porter                   43    84
Evan                  Bonifacio                60    76
Evelyn                Carroll                  22    95
F.                    Sebastian Grassia        66    76
F�lix                 O. Santiago              59    83
Fernando              de Goes                  33    71
Fiona                 Ferguson                 64    80
Fletcher              Sheridan                 31    67
Florian               Hecht                    27    74
Florian               Zitzelsberger            70    75
Florrie               Edwards                  50    79
Francesco             Matteo Olcese            45    78
Frank                 Yung-Lian Tai            23    86
Freddie               Douglas                  18    78
Frederick             Evans                    43   103
Freeson               Wang                     54    71
Gabriela              Fischer                  26    96
Gairo                 Cuevas                   32   100
Galyn                 Susman                   56    87
Gary                  Bruins                   55    84
Geoffrey              Jarrett                  59    76
Geoffrey              Osika                    66    75
Gerald                White                    72    75
Gerardo               Osorio                   51    83
Gerisa                Macale                   27    77
Gernot                Wolfgang                 57    80
Giovannie             Espiritu                 35    79
Glenn                 Kasprzycki               63    91
Gordon                Cameron                  22    98
Grace                 Adams                    35   106
Graham                Finley                   40    76
Graham                Gibson                   18    91
Grant                 Gatzke                   56    81
Grayson               Villanueva               21    71
Greg                  Dykstra                  74    84
Greg                  Gladstone                35    92
Greg                  Snyder                   71    77
Gregory               Finch                    31    82
Gregory               Fletcher                 51    80
Guilherme             Sauerbronn Jacinto       24    76
Guillaume             Chartier                 35    78
Guyu                  Liang                    67    77
Hailey                Cooper                   38    85
Hank                  Angeli                   22    74
Hannah                Chu                      63    86
Heather               Barnes                   67    69
Heather               Clark                    30    82
Heather               Eisner                   20    94
Heidi                 Rosenfelder              52    74
Heidi                 Stettner                 31    90
Helen                 Hawaz                    23    72
Henry                 Thompson                 69    69
Henry                 Chau                     69    74
Hiroaki               Narita                   18    91
Hongyan               Yang                     36    86
Hosuk                 Chang                    56    79
Hsiao                 Liu                      18    94
Hsiao-Hsien           Aaron Lo                 51    79
Huy                   Nguyen                   38    73
Ian                   Hsieh                    41    73
Ian                   James Corlett            29    92
Ian                   Westcott                 30    95
Iara                  Nemirovsky               54    76
Isaiah                Clark-Sanders            57    70
Ivan                  Piesh                    50    82
Iv�n                  Mauricio Calder�n        50    67
Ivo                   Kos                      72    70
Jack                  Spencer                  67    78
Jack                  Fisher                   19    93
Jack                  Hattori                  29    95
Jack                  Zhao                     36    81
Jaclyn                Simon                    40    74
Jacob                 Cole                     44    76
Jacob                 Braun                    38    73
Jacob                 Brooks                   28    77
Jacob                 Richards                 38    86
Jacqueline            Brand                    45    78
Jacy                  Johnson                  53    68
Jae                   H. Kim                   69    68
Jaiden                Alexander McLeod         72    78
Jaime                 Roe                      27   102
Jalise                Beamon                   23    68
James                 Anderson                 56    72
James                 Carter                   27    68
James                 Andereggen               24   103
James                 Burgess                  68    74
James                 Ford Murphy              57    87
James                 Hong                     23    87
James                 L. Jackson               63    71
James                 Spencer                  34   112
James                 W. Brown                 31    91
Jamie                 Ryan                     23   100
Jamie                 Woolf                    60    84
Jane                  Murphy                   24    73
Janet                 Yang                     49    68
Jaraed                Bello                    70    94
Jared                 Counts                   28    68
Jared                 Fong                     22    78
Jared                 Gonzales                 45    74
Jason                 Deamer                   68    81
Jason                 Kim                      27    94
Jason                 Maybaum                  20    90
Jasper                Randall                  40    69
Jay                   Ward                     66    70
Jay-Vincent           Jones                    52    89
Jeanette              Elizabeth Mckillop       51    84
Jeeyeon               Park                     27    77
Jeff                  Pidgeon                  32    73
Jenna                 Calvao                   55    73
Jenna                 Spurlock                 31    91
Jenni                 Olson                    36    80
Jenni                 Tsoi                     62    67
Jennifer              Cullinan                 61    86
Jennifer              Johnston                 33   105
Jennifer              Zaccaro                  33    85
Jenny                 Moussa Spring            41    96
Jennylyn              Mercado Huynh            72    75
Jeremie               Talbot                   53    96
Jeremy                Birn                     22    86
Jeremy                Lazare                   34    82
Jeremy                Paton                    63    84
Jeremy                Slome                    72    73
Jeremy                Tran                     73    76
Jesse                 Hollander                44    80
Jessica               Guideri                  28    68
Jessica               Heidt                    63    78
Jessica               Kelly                    72    82
Jessica               Psy DeLacy               25    97
Jessica               Snipes                   65    81
Jessica               Torres                   27    80
Jessica               Wan                      21    96
Jie                   Ma                       55    81
Jill                  Heffley                  47    81
Jim                   Kennedy                  29    78
Jim                   Martin                   63    90
Jim                   Morris                   25    95
Jimmy                 Tsai                     34    68
Joachim               De Deken                 23    83
Joanna                Laurent                  43    98
Joanne                George                   68    69
Jody                  Weinberg                 38    80
Joey                  Gilbreath                47    67
John                  Hall                     59    67
John                  Chun Chiu Lee            50    72
John                  Hazelton                 60    73
John                  Henry Frankenhauser      42    75
John                  Loy                      34    67
John                  Trauscht                 59    91
Jon                   Bryant                   30    69
Jon                   Null                     67    80
Jonah                 Blue Laird               19    85
Jonathan              Garson                   59    82
Jonathan              Hoffman                  58    85
Jonathan              Mateo Rodriguez          28    93
Jonathan              Pages                    69    70
Jonathan              Shade                    60    71
Jonathan              Vargo                    68    80
Joni                  Superticioso             41    74
Jordan                Hunt                     23    71
Jordan                Fisher                   67    88
Jordan                Rempel                   40    89
Jordi                 O�ate Isal               18    88
Jose                  Richard Ignacio          36    69
Josefina              Vergara                  63    83
Josh                  Grant                    58    82
Josh                  Levi                     61    70
Josh                  Lowden                   46    72
Josh                  West                     43    68
Joshua                Dai                      75    94
Joshua                Jenny                    45    75
Joshua                Mills                    75    68
Joshua                West                     19    79
Joyce                 Turner                   45    76
Joyce                 Lacey                    65    78
Judith                Angulo                   49    80
Juei                  Chang                    27    91
Julia                 Adams                    41    79
Julia                 Jones                    41    78
Julia                 Cho                      38    80
Julia                 Newhide                  66    78
Julian                Murphy                   23    72
Julian                Taylor                   31    88
Julian                Wen-Jie Teo              71    74
Julie                 Cho                      42   102
Julien                Schreyer                 62    91
Juliet                Roth                     21   105
Julio                 Quintero                 67    71
Justin                Harris                   21   100
Kacy                  Naylor                   23    83
Karen                 Han                      23    85
Karen                 Huie                     19    93
Kate                  Cooper                   40    74
Kate                  Hansen-Birnbaum          58    95
Katherine             Sarafian                 24    70
Kathleen              Cosby                    30    76
Katrin                Bratland                 40    90
Kayla                 D. Harriel               37    95
Kelci                 Hahn                     20    92
Kellan                Davis                    34    76
Kellan                Hill                     23    69
Kelly                 Juarez                   21    77
Kelly                 Sinning                  27    86
Kelsey                Monken                   66    96
Kelvin                Harper                   22    84
Kevin                 Douglas                  37    84
Kevin                 Andrus                   20    83
Kevin                 Buschiazzo               43    94
Kevin                 Reher                    43    76
Kevin                 Rose-Williams            56    81
Kheron                Jones-Kassing            48    77
Kiki                  Mei Kee Poh              57    92
Kim                   Diaz                     38    92
Kim                   Ross                     55    91
Kimberly              Patrick                  31    87
Kiri                  Hari                     52    86
Kirsten               Hill                     51    67
Kirsten               Ryan                     71    71
Kirsten               Yamaguchi                45    87
Kori                  Rae                      51    88
Krissy                Bailey                   29    80
Kristen               Beech-Needham            64    73
Kristen               Lester                   41    70
Kristi                Gamble                   55    74
Kristian              Norelius                 46    79
Kristifir             Klein                    18    96
Kristina              Ruud-Hewitt              58    73
Kristina              Sepulveda                59    74
Kristine              Alvarez Javier           35    84
Kristoffer            Neil Landes              39    84
Kristophe             Vergne                   20    94
Kureha                Yokoo                    31    96
Kurt                  Fleischer                53    89
Kyle                  Lovrien                  19    97
Kyle                  Roldan                   47    98
Kylie                 Wijsmuller               25    68
Lan                   Tang                     41    86
Larry                 Mah                      30    84
Lars                  R. Damerow               22    73
Laura                 Finell                   51    83
Laura                 Hainke                   64    76
Laura                 Meyer                    67    87
Laura                 Phillips                 26    82
Laura                 Smith Roethe             25    88
Lauren                Davidson                 63    75
Lauren                Harrold                  74    83
Lauren                Rodriguez-Gaylord        54    81
Lauren                Uyeda                    31    83
Laurie                Nguyen Kim               19    89
Layton                Nosbush                  66    74
Lee                   Unkrich                  55    90
Leif                  Pedersen                 68    95
Lenny                 Walker                   51    70
Leonardo              Evans                    34    82
Les                   Watters                  24    77
Leslie                Pao                      27    76
Lika                  Miyake                   43    73
Lily                  Kelley                   29    97
Lily                  Poon Fong-Fong           37    71
Lily                  Sanfelippo               23    99
Lindsey               Collins                  51    95
Ling                  Hsu                      63    82
Ling                  Tu                       33    69
Lisa                  Chino                    36    95
Lisa                  Fletcher                 25    73
Lisa                  Fotheringham             66    77
Liz                   Gazzano                  19   100
Logan                 Hester                   31    87
Logan                 Pearsall                 46    95
Lois                  Banks                    48    83
Louise                Smythe                   23    97
Lucas                 Alexander                67    88
Lucas                 Glashoff                 27    85
Lucy                  Reed                     50    77
Lucy                  Laliberte                64    75
Luke                  Morris                   28    87
Luke                  Cutler Elwood            46    76
Luke                  Maurer                   43    93
Lydia                 Montgomery               61    72
Lydia                 Look                     59    75
Lynda                 Pakzad                   63    71
Lyon                  Liew                     65    81
Maddie                Ellis                    34   106
Maddix                Robinson                 47    67
Madeline              Ormbrek                  63    70
Madeline              Sharafian                29    75
Mahyar                Abousaeedi               73    67
Maia                  Jasper-White             70    81
Maitreyi              Ramakrishnan             52    76
Manuel                Zenon Rodriguez          51    84
Mara                  MacMahon                 59    76
Marcia                Dickstein                43    85
Marco                 Antonio Marquez          48    92
Marco                 Castellanos              32    77
Marcos                Navarrete                26    68
Margaret              Spencer                  66    69
Marguerite            K. Enright               21    81
Maria                 Morgan                   45    71
Mariah                Thompson                 27    76
Mariana               Denight                  19    83
Mariel                Sheets                   38    90
Mariko                Hoshi                    18   101
Marina                Capizzi                  65    75
Mark                  Dinicola                 73    86
Mark                  Fernandez                46    77
Mark                  Joseph                   72    98
Mark                  Meyer                    32    79
Mark                  Milla                    24    72
Mark                  Pananganan               53    87
Mark                  Piretti                  22   103
Mark                  Robertson                38    88
Mark                  VandeWettering           23    77
Markus                Kranzler                 71    85
Marlena               Fecho                    32   103
Mary                  Smith                    31    76
Mary                  Alice Drumm              35    71
Marylou               Jaso                     34    96
Masha                 Ellsworth                23    71
Matt                  Wilson                   22    67
Matthew               Bird Waters              50    69
Matthew               Camello                  65    70
Matthew               Gagnebin                 19    71
Matthew               Muhili Lindahl           31   100
Matthias              Goerner                  20   103
Mattie                Brehm                    47    84
Maura                 Turner                   61    93
Max                   Lloyd                    63    71
Max                   Morrison                 42    90
Max                   Brace                    41    69
Max                   Rodriguez                36    95
May                   Pon                      65    91
Maya                  Stevens                  18    75
Maya                  Anderson                 55    69
Maya                  Magub                    49    85
Maya                  Tanaka                   24    70
Megan                 Alderson                 51    94
Melissa               Bernabei Morrison        51    87
Melissa               Woods                    22    68
Meredith              Crawford                 30    79
Meredith              Moulton                  18    94
Mia                   Stapleton                20    71
Michael               Cabral                   22    90
Michael               "Douglass, Jr."          72    85
Michael               Fong                     41    93
Michael               Galbraith                57    80
Michael               Lorenzen                 35    96
Michael               Rice                     51    69
Michael               Sauls                    36    84
Michael               Stewart Johnson          68    72
Michael               Stocker                  44    94
Michael               Wu                       68    82
Michael               Yates                    39    90
Michelle              Liu Chung                74    68
Michelle              Lopez                    33   103
Michelle              Simons                   25    84
Mike                  Altman                   70    67
Mike                  H. Mahony                57    68
Mike                  Jones                    54    86
Mike                  Stern                    36    84
Mike                  Valerio                  34    69
Miranda               Carroll                  28   106
Miranda               Douglas                  67    93
Miranda               Roberts                  27    67
Mitch                 Kopelman                 58    74
Molly                 Glover                   37    93
Molly                 Jones                    28    79
Molly                 Meyer                    58    67
Molly                 Speacht                  31    73
Momo                  LeBeau                   75    93
Monica                Sonand                   37    81
Morgan                Karadi                   22    96
Morgan                Miars                    44    92
Morris                Lum                      35    68
Myra                  Gibson                   35    92
Nancy                 Anaisodin Dinh           57    82
Nancy                 Howard                   41    76
Natalie               Cunningham               18    85
Natalie               Leggett                  68    79
Nate                  Skeen                    48    68
Nathaniel             Smith                    28   100
Neil                  Helm                     31    91
Nelson                Bohol                    67    77
Nelson                Sette Siu                37    68
N�stor                Benito Fernandez         19    83
Nicholas              C. Smith                 33    83
Nicholas              Docter                   55    78
Nick                  Balian                   67    93
Nick                  Porcino                  54    72
Nico                  Abondolo                 44    67
Nicole                Johnson                  73    72
Nicole                Lloyd                    41    88
Nicole                Mitchell                 60    70
Nicole                Paradis Grindle          71    78
Ni�o                  Ellington                37    75
Nora                  S. Willett               70    68
Oliver                Walker                   37   100
Orion                 Lee                      21    78
Osafo                 Barker                   37    84
Otito                 Greg-Obi                 63    73
Patrick               Campbell                 70    86
Patrick               Angell                   62    73
Patrick               James                    24    83
Patty                 Kihm                     67    70
Paul                  Chideya                  20    98
Paul                  Francisco Diaz           34    88
Paul                  Kanyuk                   19    71
Paula                 Assadourian              24    76
Pauline               Chu                      48    79
Pedro                 Eustache                 61    96
Per                   Christensen              32    97
Pete                  Anthony                  52    72
Pete                  Docter                   28    71
Peter                 Nye                      35    76
Peter                 Plackowski               50    91
Peter                 Roe                      41    87
Peter                 Rotter                   21    76
Peter                 Sohn                     69    74
Peter                 Ward                     20    86
Philip                Graham                   30    70
Philip                Metschan                 75    85
Philippe              LePrince                 70    73
Phillip               Levy                     37    92
Phyllis               Ting                     70    96
Prescila              de Borthole Vertamatti    25    79
Rachel                Agana                    53    75
Rachel                H. Slansky               70    72
Raja                  Bala                     63    82
Rami                  Kasim                    48    80
Raquel                Bordin                   19   104
Ray                   Strickler                28    75
Raymond               V. Wong                  18    89
Rebecca               Warren                   42    79
Rebecca               Mosqueda                 73    68
Reema                 Batnagar                 66    73
Reid                  Casey                    34    78
Ren                   Klyce                    75    80
Renee                 Tam                      33    83
Ricardo               Nadu                     64    79
Ricardo               Pacheco Solano           33    78
Richard               Cogger                   41    78
Richard               Guo                      69    78
Richard               Yoshioka                 55    79
Riley                 Hale                     69    80
Rob                   Cassie                   29    89
Rob                   Duquette Thompson        49    70
Rob                   Fusari                   24    84
Rob                   Jensen                   56    71
Rob                   Rowe                     49    69
Rob                   Schaer                   33    67
Robb                  Donovan                  56    72
Robb                  Gibbs                    32    74
Robert                Brophy                   45    85
Robert                Graf                     61    75
Robert                Hamrick                  28    86
Robert                Kosai                    20    81
Roberto               Cani                     44    85
Robin                 Leigh                    21    90
Robyn                 Rindge                   52    89
Roland                Robinson                 21    68
Roman                 Morgan                   57    76
Rona                  Francisco Li             40    99
Rona                  Liu                      62    71
Rosalie               Chiang                   33    82
Rosana                Kot                      52    85
Rose                  Corrigan                 48    70
Rosie                 Cole                     39    74
Royce                 Wesley                   56    79
Rubie                 Smith                    68    84
Rui                   Tong                     49    74
Ryan                  Adams                    27   100
Ryan                  Nelson                   74    68
Ryan                  Bujnowicz                31    82
Ryan                  Darkes                   41    94
Samantha              Evans                    42    85
Samuel                Lehmer                   53    80
Sandra                Karpman                  64    96
Sandra                Oh                       60    82
Sara                  Hanlan                   55    89
Sara                  Mann                     26    72
Sarah                 Tucker                   73    73
Sarah                 Boggs                    64    89
Sarah                 Dunham                   67    80
Sarah                 Forcier                  50    72
Sarah                 Hutchinson               38    79
Sarah                 Jo Helton                55    74
Sarah                 Thornblade               53    81
Sasha                 Roiz                     73    76
Saunder               Choi                     36    78
Sayoko                Wu                       65    72
Scott                 Curtis                   18    79
Scott                 Morse                    43    80
Scott                 Tilley                   24    68
Sean                  T. Krishnan              37    74
Selen                 Atiker                   70    76
Sequoia               Blankenship              46    72
Serena                Dettman                  36   101
Seth                  Freeman                  56    79
Seth                  Van Booven               64    87
Shannon               Nicosia                  18    85
Shari                 Villarde                 28    88
Sharmila              Guha Lash                63    75
Sharon                Dovas                    40    78
Shawn                 Mann                     29    96
Shawn                 Zhou                     54    83
Shelley               Roden                    24    77
Shiho                 Tilley                   56    95
Shubha                Jagannatha               64    97
Sienna                Spencer                  36    90
Sonoko                Konishi                  38    72
Sophia                Bailey                   50    84
Sophia                Mitchell                 61    88
Sophia                Borich                   33    96
Spike                 Fowler                   39    81
Staphon               Arnold                   18    70
Stefan                Gronsky                  44    77
Stephanie             Gee Galaviz              33    77
Stephanie             Kelly                    34    87
Stephanie             Nicks                    38    74
Stephanie             Pham Aganon              24    67
Stephen               Friedman                 53    87
Stephen               Urata                    32   102
Stephen               Wong                     25    82
Steve                 Bissinger                75    68
Steve                 Bloom                    20    87
Steve                 Erdody                   68    69
Steven                Scott                    27    77
Steven                Clay Hunter              46    74
Steven                Holtman                  64    78
Stuart                Clark                    22    71
Sungyeon              Joh                      47    76
Sunya                 Boonyatera               35   107
Sureena               Mann                     43   105
Susan                 Brunig                   51    76
Susan                 Fisher Fong              52    81
Susan                 Salituro                 27    95
Susanne               Rublein                  33    77
Suz                   Loshin                   72    73
Suzanne               Waters                   34    83
Sydney                Crawford                 53    85
Sydney                Thomas                   28    80
Sylvia                Gray Wong                66    88
Tadahiro              Uesugi                   58    84
Tasha                 Sounart                  65    67
Teag                  Reaves                   18    83
Ted                   Jones                    60    80
Ted                   Atkatz                   30    77
Teresa                Nord Storhoff            40    85
Teresa                Stanislav                71    86
Terri                 Douglas                  19    93
Terry                 Lee Moseley              43    98
Tess                  Cameron                  32    98
Thidaratana           Annee Jonjai             37    69
Thierry               Dervieux-Lecocq          25    74
Thomas                Gonzales                 28    83
Thomas                Hahn                     36   105
Thomas                Hardisty                 55    70
Thomas                Harte                    48    73
Thomas                Porter                   48    81
Tiana                 Craig                    42    93
Tiana                 Ellis                    22   100
Tiffany               Lopez                    71    67
Tiffany               Reno Fung                62    73
Tim                   Speltz                   41    98
Timothy               Loo                      59    68
Tlaloc                Alvarez                  22    69
Toan-Vinh             Le                       34    78
Tom                   Cauchois                 73    75
Tom                   Gately                   37    90
Tom                   MacDougall               59    67
Tom                   Miller                   40    73
Tom                   Nettleship               36   113
Tony                  Rosenast                 25    88
Topher                Ngo                      64    78
Tracey                Walker                   36    82
Trevor                Jimenez                  31    92
Trey                  Henry                    55    83
Tricia                Andres                   23   100
Trina                 M. Roy                   65    83
Trinity               Jo-Li Bliss              33    93
Tristan               Allerick Chen            20    94
Tsang                 Pui-Yee                  42    96
Tyler                 Fazakerley               44    85
Tyler                 Schroeder                71    78
Uma                   Havaligi                 18    81
Valeria               Howard                   36    74
Valerie               Hathaway                 32    95
Vanessa               Russell                  22    95
Venkateswaran         Krishna                  40    76
Ver�nica              Toledo                   49    84
Victoria              Manley Thompson          23    82
Vince                 Caro                     32    81
